epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.131,0.56352,3.61453,0.95994,0.03591,0.92847,0.17415,0.15866,0.3433,3.55457,0.79008,9.996e-05,9.996e-05,9.996e-05
2,293.883,0.49836,3.23368,0.90534,0.03089,0.99015,0.28243,0.25518,0.34964,3.49119,0.78919,0.000196811,0.000196811,0.000196811
3,431.758,0.497,2.79759,0.89804,0.02842,0.99655,0.51445,0.47864,0.35877,3.28684,0.79207,0.000283058,0.000283058,0.000283058
4,576.143,0.54317,2.23748,0.91266,0.9957,0.19259,0.77404,0.72033,0.39175,2.99301,0.80485,0.000358703,0.000358703,0.000358703
5,714.821,0.5318,1.71704,0.93554,0.9901,0.25943,0.8883,0.8353,0.36152,2.70484,0.80805,0.000423745,0.000423745,0.000423745
6,859.666,0.52541,1.25119,0.93808,0.93164,0.80592,0.95085,0.88156,0.39205,1.88068,0.83126,0.000478184,0.000478184,0.000478184
7,995.703,0.47964,1.04663,0.91686,0.9342,0.86467,0.98185,0.91364,0.3883,1.20817,0.82955,0.000501942,0.000501942,0.000501942
8,1140.16,0.46775,0.90952,0.887,0.98426,0.97271,0.99143,0.92695,0.3661,0.85748,0.82971,0.000466599,0.000466599,0.000466599
9,1276.13,0.44579,0.80504,0.88561,0.97384,0.9801,0.99158,0.93452,0.34038,0.87618,0.81603,0.000431256,0.000431256,0.000431256
10,1425.23,0.42315,0.73751,0.8731,0.98659,0.98667,0.9916,0.93642,0.32633,0.71705,0.80621,0.000395913,0.000395913,0.000395913
11,1566.27,0.36802,0.86641,0.81887,0.94244,0.97972,0.98808,0.93088,0.33882,0.93391,0.79634,0.00036057,0.00036057,0.00036057
12,1714.9,0.33446,0.7728,0.8259,0.98089,0.98196,0.99194,0.94502,0.31416,0.71318,0.79603,0.000325227,0.000325227,0.000325227
13,1885.3,0.32788,0.71236,0.81414,0.97763,0.98661,0.99189,0.94509,0.32325,0.66715,0.79958,0.000289884,0.000289884,0.000289884
14,2046.74,0.32465,0.69009,0.81244,0.98291,0.99016,0.99205,0.95149,0.2997,0.63634,0.79585,0.000254541,0.000254541,0.000254541
15,2189.69,0.31237,0.67522,0.80392,0.98728,0.99024,0.99205,0.95033,0.30093,0.60404,0.79289,0.000219198,0.000219198,0.000219198
16,2337.98,0.31933,0.66449,0.79882,0.99563,0.98609,0.99205,0.95856,0.29222,0.55535,0.79814,0.000183855,0.000183855,0.000183855
17,2467.6,0.30924,0.61788,0.79483,0.99556,0.99001,0.99195,0.95639,0.28593,0.55094,0.7962,0.000148512,0.000148512,0.000148512
18,2622.4,0.29966,0.60317,0.79532,0.99355,0.98531,0.99206,0.9586,0.27692,0.54799,0.7933,0.000113169,0.000113169,0.000113169
19,2783.18,0.29261,0.5887,0.7881,0.99318,0.98487,0.99206,0.96247,0.26838,0.5384,0.79199,7.7826e-05,7.7826e-05,7.7826e-05
20,2943.34,0.29784,0.60118,0.79704,0.9932,0.98563,0.99205,0.96568,0.26176,0.52533,0.79069,4.2483e-05,4.2483e-05,4.2483e-05
